------------------------------------------------------------
Server listening on UDP port 5001 with pid 1752
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 51655
[  4] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 33567
[  5] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37758
[  6] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 41594
[  7] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 54039
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  4] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.622 ms    0/  891 (0%) 15.937/13.454/26.498/ 3.145 ms   89 pps  8.22
[  5] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.691 ms    0/  891 (0%) 15.936/13.375/30.562/ 3.154 ms   89 pps  8.22
[  6] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.614 ms    0/  891 (0%) 15.917/13.447/30.441/ 3.156 ms   89 pps  8.23
[  7] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.776 ms    0/  891 (0%) 15.899/13.428/26.572/ 3.142 ms   89 pps  8.24
[SUM] 200.0000-210.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.202 ms    0/  892 (0%) 15.890/13.388/26.626/ 3.093 ms   89 pps  8.25
[  4] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.162 ms    0/  892 (0%) 15.885/13.432/26.495/ 3.099 ms   89 pps  8.25
[  5] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.209 ms    0/  892 (0%) 15.894/13.450/26.601/ 3.086 ms   89 pps  8.25
[  6] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.103 ms    0/  892 (0%) 15.899/13.455/26.547/ 3.090 ms   89 pps  8.25
[  7] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.213 ms    0/  892 (0%) 15.866/13.353/26.625/ 3.077 ms   89 pps  8.26
[SUM] 210.0000-220.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.366 ms    0/  892 (0%) 15.903/13.421/26.598/ 3.097 ms   89 pps  8.25
[  4] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.419 ms    0/  892 (0%) 15.897/13.388/26.598/ 3.089 ms   89 pps  8.25
[  5] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.863 ms    0/  892 (0%) 15.906/13.449/26.925/ 3.111 ms   89 pps  8.24
[  6] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.402 ms    0/  892 (0%) 15.890/13.448/26.597/ 3.069 ms   89 pps  8.25
[  7] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.375 ms    0/  892 (0%) 15.865/13.399/26.467/ 3.068 ms   89 pps  8.26
[SUM] 220.0000-230.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.380 ms    0/  890 (0%) 16.017/13.347/31.382/ 3.282 ms   89 pps  8.17
[  4] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.268 ms    0/  890 (0%) 16.015/13.086/31.340/ 3.298 ms   89 pps  8.17
[  5] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.317 ms    0/  890 (0%) 16.026/13.059/31.421/ 3.315 ms   89 pps  8.16
[  6] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.327 ms    0/  890 (0%) 16.006/13.080/31.383/ 3.285 ms   89 pps  8.17
[  7] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.429 ms    0/  890 (0%) 15.990/13.134/31.383/ 3.285 ms   89 pps  8.18
[SUM] 230.0000-240.0000 sec  6.24 MBytes  5.23 Mbits/sec  0/4450        0 pps
[  3] 240.0000-250.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.495 ms    0/  893 (0%) 15.903/13.175/28.160/ 3.133 ms   89 pps  8.25
[  4] 240.0000-250.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.967 ms    0/  893 (0%) 15.950/13.118/28.160/ 3.224 ms   89 pps  8.23
